"Wavelength","dog_S","dog_L"
464,0.565228036748845,0.245608245876936
465,0.545055327371833,0.251535426478627
466,0.524917504746094,0.257667111422329
467,0.504855325417464,0.264002515429546
468,0.484908528361244,0.270540637136012
469,0.465115723489166,0.277280254984179
470,0.445514291451644,0.284219923385112
471,0.426140292840534,0.291357969180289
472,0.407028384685329,0.298692488433262
473,0.388211742049387,0.306221343580292
474,0.369721982581833,0.313942160967854
475,0.351589092068445,0.321852328803489
476,0.333841349348442,0.329948995544662
477,0.316505249413139,0.33822906874823
478,0.299605424059121,0.346689214400736
479,0.283164560107217,0.355325856747108
480,0.267203315886179,0.364135178632405
481,0.251740237377856,0.373113122368095
482,0.236791676085603,0.382255391130964
483,0.222371711274905,0.391557450899151
484,0.208492079701445,0.401014532926076
485,0.195162116248277,0.410621636749109
486,0.182388709009981,0.420373533725886
487,0.170176272268448,0.430264771087101
488,0.158526740496641,0.440289676490568
489,0.147439586012645,0.450442363057318
490,0.136911862211155,0.460716734866529
491,0.126938273461164,0.471106492882244
492,0.117511271826066,0.481605141281168
493,0.108621179791966,0.49220599414732
494,0.100256337240139,0.502902182496133
495,0.0924032700269349,0.513686661587594
496,0.0850468767885525,0.524552218485439
497,0.0781706300082343,0.535491479817169
498,0.0717567869955528,0.546496919687761
499,0.0657866062433744,0.55756086769854
500,0.0602405646451738,0.568675517021715
501,0.0550985712583634,0.57983293248056
502,0.0503401736624427,0.591025058585191
503,0.0459447534508823,0.602243727474439
504,0.0418917079755902,0.613480666715254
505,0.0381606160944059,0.624727506912651
506,0.0347313863191913,0.635975789085187
507,0.0315843863926761,0.647216971763558
508,0.0287005539098701,0.658442437772871
509,0.0260614881246489,0.669643500662739
510,0.0236495235307247,0.680811410753265
511,0.0214477861715758,0.691937360769468
512,0.0194402339144864,0.703012491041514
513,0.0176116821226179,0.714027894253376
514,0.0159478162823991,0.724974619728169
515,0.0144351932002657,0.735843677244287
516,0.0130612323829904,0.746626040382807
517,0.011814199170155,0.757312649412998
518,0.0106831811061599,0.76789441372962
519,0.00965805893229689,0.778362213862512
520,0.00872947345556059,0.788706903086115
521,0.00788878941756769,0.798919308663673
522,0.00712805735040978,0.808990232768148
523,0.00643997427145071,0.818910453129115
524,0.00581784393975491,0.828670723462137
525,0.00525553727570007,0.838261773744316
526,0.00474745343417043,0.847674310406704
527,0.00428848192155809,0.856899016521179
528,0.00387396605802317,0.865926552065995
529,0.00349966800900375,0.87474755436055
530,0.00316173554339779,0.883352638765924
531,0.00285667061948942,0.891732399753224
532,0.00258129985273249,0.899877412446889
533,0.00233274688101783,0.90777823475445
534,0.00210840661209085,0.915425410198094
535,0.00190592131341395,0.922809471566239
536,0.0017231584860829,0.929920945505515
537,0.00155819045057015,0.936750358174549
538,0.0014092755623078,0.943288242080972
539,0.00127484096874827,0.949525144221751
540,0.00115346681593613,0.95545163564438
541,0.00104387181125346,0.961058322542257
542,0.000944900049398974,0.966335858991932
543,0.000855509010432216,0.971274961432328
544,0.000774758641523553,0.975866424976753
545,0.000701801437619038,0.980101141637164
546,0.000635873440326491,0.983970120526728
547,0.000576286078766494,0.987464510091205
548,0.000522418780758743,0.990575622401847
549,0.000473712287409955,0.993294959522541
550,0.000429662608840442,0.995614241941655
551,0.000389815563361522,0.997525439034575
552,0.000353761846841399,0.999020801496422
553,0.000321132583235118,1.00009289565588
554,0.000291595311278901,1.00073463955083
555,0.000264850366144047,1.00093934061471
556,0.000240627618402813,1.0007007347895
557,0.000218683535975586,1.00001302684765
558,0.000198798537807954,0.998870931670942
559,0.000180774610873638,0.99726971620068
560,0.000164433164723336,0.995205241740208
561,0.000149613100210428,0.992674006259271
562,0.000136169071233752,0.989673186320004
563,0.000123969920357256,0.986200678217626
564,0.000112897271008799,0.98225513790569
565,0.000102844260637952,0.977836019256892
566,9.37144007377029e-05,0.972943610196617
567,8.5420551019175e-05,0.967579066238401
568,7.78839962832102e-05,0.961744440948837
569,7.10336156687301e-05,0.955442712874885
570,6.4805134985214e-05,0.948677808479327
571,5.91404537650084e-05,0.941454620650761
572,5.39870395093115e-05,0.933779022383116
573,4.9297382357729e-05,0.925657875256233
574,4.50285040929197e-05,0.917099032393512
575,4.11415160059188e-05,0.90811133562449
576,3.76012207007236e-05,0.898704606639036
577,3.43757534144357e-05,0.888889631984827
578,3.14362588770351e-05,0.878678141829994
579,2.87566001376161e-05,0.868082782487132
580,2.63130961459864e-05,0.857117082772058
581,2.40842852040174e-05,0.845795414349325
582,2.20507116936195e-05,0.834132946295108
583,2.01947337510129e-05,0.822145594185105
584,1.85003497930546e-05,0.80984996408902
585,1.69530420134433e-05,0.797263291922492
586,1.55396351570983e-05,0.784403378670518
587,1.42481690520668e-05,0.771288522052252
588,1.30677835319447e-05,0.757937445244274
589,1.19886145197591e-05,0.744369223317094
